sample_id,cc.min.diff
LS-15559_S46_E1-50,0.227423714
LS-15559_S49_E1-50,0.381083796
LS-15559_S50_E1-50,0.409749638
LS-15559_S54_E1-50,0.34038281
LS-15559_S71_E1-50,0.117971944
LS-15559_S73_E1-50,0.130924919
LS-15559_S75_E1-50,0.570941669
LS-15559_S77_E1-50,0.550839287
LS-15559_S78_E1-50,0.336265761
LS-15559_S79_E1-50,0.619391703
LS-15563_S07_E1-50,0.537465011
LS-15563_S15_E1-50,0.108019894
LS-15563_S20_E1-50,0.474916541
LS-15563_S27_E1-50,0.51456122
LS-15563_S34_E1-50,0.393646721
LS-15563_S36_E1-50,0.258916345
LS-15563_S55_E1-50,0.36430192
LS-15563_S61_E1-50,0.450357254
LS-15563_S68_E1-50,0.348236682
LS-15563_S71_E1-50,0.30138074
LS-15563_S78_E1-50,0.838371812
LS-15563_S81_E1-50,0.163783665
LS-15563_S84_E1-50,0.276815275
LS-15563_S93_E1-50,0.78294936
LS-15563_S94_E1-50,0.761501177
LS-15564_S02_E1-50,0.09275182
LS-15564_S03_E1-50,0.409007369
LS-15564_S07_E1-50,0.257444248
LS-15564_S10_E1-50,0.830250147
LS-15564_S11_E1-50,0.5440384
LS-15564_S25_E1-50,0.075417901
LS-15564_S27_E1-50,0.700853675
LS-15564_S41_E1-50,0.458805279
LS-15564_S42_E1-50,0.429776944
LS-15564_S43_E1-50,0.670956734
LS-15564_S44_E1-50,0.582379469
LS-15564_S47_E1-50,0.611385242
LS-15564_S50_E1-50,0.72182063
LS-15564_S51_E1-50,0.648720559
LS-15564_S53_E1-50,0.3892413
LS-15564_S60_E1-50,0.317545272
LS-15564_S65_E1-50,0.363945077
LS-15564_S73_E1-50,0.580733467
LS-15564_S74_E1-50,0.542952282
LS-15564_S79_E1-50,0.649247227
LS-15564_S81_E1-50,0.54221666
LS-15564_S82_E1-50,0.49627977
LS-15564_S85_E1-50,0.620712295
LS-15564_S87_E1-50,0.565602282
LS-15564_S94_E1-50,0.598806532
LS-15564_S95_E1-50,0.5948393
LS-15565_S03_E1-50,0.552842453
LS-15565_S11_E1-50,0.825332408
LS-15565_S13_E1-50,0.863397871
LS-15565_S15_E1-50,0.564082244
LS-15565_S26_E1-50,0.43052732
LS-15565_S29_E1-50,0.619515529
LS-15565_S31_E1-50,0.594554573
LS-15565_S39_E1-50,0.098553419
LS-15565_S50_E1-50,0.169290247
LS-15565_S51_E1-50,0.284566125
LS-15565_S53_E1-50,0.166803545
LS-15565_S57_E1-50,0.596144382
LS-15565_S60_E1-50,0.547350044
LS-15565_S61_E1-50,0.55688945
LS-15565_S62_E1-50,0.378449572
LS-15565_S65_E1-50,0.606724122
LS-15565_S71_E1-50,0.05598271
LS-15565_S78_E1-50,0.708001115
LS-15565_S83_E1-50,0.344981241
LS-15565_S85_E1-50,0.414865063
LS-15565_S86_E1-50,0.164986408
LS-15566_S05_E1-50,0.818049765
LS-15566_S23_E1-50,0.414408836
LS-15566_S44_E1-50,0.546754469
LS-15566_S68_E1-50,0.514009292
LS-15566_S77_E1-50,0.746956266
LS-15566_S78_E1-50,0.583822926
LS-15566_S81_E1-50,0.426959584
LS-15566_S82_E1-50,0.618006888
LS-15566_S83_E1-50,0.472936617
LS-15566_S84_E1-50,0.590812126
LS-15566_S85_E1-50,0.259389563
LS-15566_S89_E1-50,0.377510222
LS-15566_S90_E1-50,0.433680854
LS-15566_S91_E1-50,0.338712805
LS-15566_S92_E1-50,0.515382034
LS-15567_S03_E1-50,0.618536683
LS-15567_S09_E1-50,0.421339373
LS-15567_S11_E1-50,0.52695681
LS-15567_S13_E1-50,0.65883182
LS-15567_S15_E1-50,0.302957751
LS-15567_S18_E1-50,0.350792851
LS-15567_S21_E1-50,0.589575417
LS-15567_S22_E1-50,0.839433595
LS-15567_S26_E1-50,0.507836596
LS-15567_S29_E1-50,0.597824302
LS-15567_S33_E1-50,0.379034173
LS-15567_S42_E1-50,0.029775248
LS-15567_S46_E1-50,0.406529016
LS-15567_S49_E1-50,0.609061951
LS-15567_S65_E1-50,0.451278451
LS-15567_S73_E1-50,0.577712301
LS-15567_S74_E1-50,0.432064602
LS-15567_S76_E1-50,0.542243826
LS-15567_S78_E1-50,0.368022023
LS-15567_S81_E1-50,0.630654064
LS-15567_S82_E1-50,0.68510895
LS-15567_S85_E1-50,0.249486385
LS-15567_S89_E1-50,0.103461794
LS-15567_S95_E1-50,0.408175887
LS-15568_S05_E1-50,0.660129907
LS-15568_S18_E1-50,0.576883889
LS-15568_S21_E1-50,0.535360131
LS-15568_S25_E1-50,0.193865123
LS-15568_S30_E1-50,0.619977045
LS-15568_S33_E1-50,0.423145855
